Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper
13,Tottenham,eng ENG,4,38,22,5,11,69,40,+29,71,1.87,61.2,39.3,+21.9,+0.58,56523,Son Heung-min - 23,Hugo Lloris
14,Marseille,fr FRA,2,38,21,8,9,63,38,+25,71,1.87,58.2,39.0,+19.2,+0.51,51755,Dimitri Payet - 12,Pau López
15,Atlético Madrid,es ESP,3,38,21,8,9,65,43,+22,71,1.87,54.4,33.4,+21.1,+0.56,48039,Ángel Correa - 12,Jan Oblak
16,Sevilla,es ESP,4,38,18,16,4,53,30,+23,70,1.84,42.4,36.9,+5.4,+0.14,29756,Rafa Mir - 10,Yassine Bounou
17,Juventus,it ITA,4,38,20,10,8,57,37,+20,70,1.84,51.4,38.1,+13.4,+0.35,22621,Paulo Dybala - 10,Wojciech Szczęsny
18,Monaco,fr FRA,3,38,20,9,9,65,40,+25,69,1.82,59.3,40.3,+19.0,+0.50,5877,Wissam Ben Yedder - 25,Alexander Nübel
19,Arsenal,eng ENG,5,38,22,3,13,61,48,+13,69,1.82,60.5,45.7,+14.9,+0.39,59665,Bukayo Saka - 11,Aaron Ramsdale
20,Rennes,fr FRA,4,38,20,6,12,82,40,+42,66,1.74,62.8,42.9,+19.8,+0.52,25493,Martin Terrier - 21,Alfred Gomis
21,Nice,fr FRA,5,38,20,7,11,52,36,+16,66,1.74,55.6,42.5,+13.1,+0.35,16055,Andy Delort - 16,Walter Benítez
22,RB Leipzig,de GER,4,34,17,7,10,72,37,+35,58,1.71,64.5,40.1,+24.5,+0.72,22124,Christopher Nkunku - 20,Péter Gulácsi
23,Betis,es ESP,5,38,19,8,11,62,40,+22,65,1.71,53.5,43.4,+10.1,+0.27,41749,Juanmi - 16,Rui Silva
24,Lazio,it ITA,5,38,18,10,10,77,58,+19,64,1.68,55.3,47.7,+7.6,+0.20,23263,Ciro Immobile - 27,Thomas Strakosha
25,Union Berlin,de GER,5,34,16,9,9,50,44,+6,57,1.68,47.0,38.5,+8.5,+0.25,14046,Taiwo Awoniyi - 15,Andreas Luthe
26,Strasbourg,fr FRA,6,38,17,12,9,60,43,+17,63,1.66,55.6,43.5,+12.1,+0.32,23555,Ludovic Ajorque - 12,Matz Sels
27,Roma,it ITA,6,38,18,9,11,59,43,+16,63,1.66,65.1,38.4,+26.8,+0.70,41929,Tammy Abraham - 17,Rui Patrício
28,Lens,fr FRA,7,38,17,11,10,62,48,+14,62,1.63,50.2,42.7,+7.5,+0.20,28950,Arnaud Kalimuendo - 12,Jean-Louis Leca
29,Fiorentina,it ITA,7,38,19,5,14,59,51,+8,62,1.63,60.0,40.6,+19.4,+0.51,21107,Dušan Vlahović - 17,Pietro Terracciano
30,Real Sociedad,es ESP,6,38,17,11,10,40,37,+3,62,1.63,51.5,38.7,+12.8,+0.34,26813,Mikel Oyarzabal - 9,Álex Remiro
31,Freiburg,de GER,6,34,15,10,9,58,46,+12,55,1.62,50.4,44.0,+6.4,+0.19,18741,Vincenzo Grifo - 9,Mark Flekken
32,Lyon,fr FRA,8,38,17,11,10,66,51,+15,61,1.61,66.9,54.6,+12.4,+0.33,32329,Moussa Dembélé - 21,Anthony Lopes
33,Villarreal,es ESP,7,38,16,11,11,63,37,+26,59,1.55,64.2,44.8,+19.4,+0.51,14293,Arnaut Danjuma - 10,Gerónimo Rulli
34,Atalanta,it ITA,8,38,16,11,11,65,48,+17,59,1.55,62.5,45.3,+17.2,+0.45,10447,Mario Pašalić - 13,Juan Musso
35,Köln,de GER,7,34,14,10,10,52,49,+3,52,1.53,50.1,50.6,-0.6,-0.02,31965,Anthony Modeste - 20,Marvin Schwäbe
36,Manchester Utd,eng ENG,6,38,16,10,12,57,57,0,58,1.53,55.8,53.0,+2.8,+0.07,73150,Cristiano Ronaldo - 18,David de Gea
37,West Ham,eng ENG,7,38,16,8,14,60,51,+9,56,1.47,51.4,53.5,-2.1,-0.06,58370,Jarrod Bowen - 12,Łukasz Fabiański
38,Nantes,fr FRA,9,38,15,10,13,55,48,+7,55,1.45,45.5,52.7,-7.2,-0.19,20803,Randal Kolo Muani - 12,Alban Lafont
39,Athletic Club,es ESP,8,38,14,13,11,43,36,+7,55,1.45,49.6,38.4,+11.3,+0.30,32949,Iñaki Williams - 8,Unai Simón
40,Lille,fr FRA,10,38,14,13,11,48,48,0,55,1.45,50.5,39.9,+10.6,+0.28,34346,Jonathan David - 15,Ivo Grbić
41,Hellas Verona,it ITA,9,38,14,11,13,65,59,+6,53,1.39,50.4,49.0,+1.4,+0.04,13894,Giovanni Simeone - 17,Lorenzo Montipò
