Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper
67,Cádiz,es ESP,16,25,6,9,10,20,37,-17,27,1.08,20.5,37.3,-16.8,-0.70,W L W D D,17134,Álex Fernández Lucas Pérez - 3,Jeremías Ledesma
68,Nantes,fr FRA,14,27,6,11,10,29,36,-7,29,1.07,28.9,33.7,-4.8,-0.18,W L L L D,27667,Ludovic Blas Mostafa Mohamed - 6,Alban Lafont
69,Valencia,es ESP,17,25,7,5,13,28,28,0,26,1.04,30.1,30.4,-0.3,-0.01,L L W L W,39708,Edinson Cavani - 5,Giorgi Mamardashvili
70,Lecce,it ITA,15,26,6,9,11,24,31,-7,27,1.04,21.2,28.8,-7.5,-0.30,D W L L L,17128,Gabriel Strefezza - 7,Wladimiro Falcone
71,Getafe,es ESP,18,25,6,8,11,25,34,-9,26,1.04,20.0,28.1,-8.1,-0.34,D W L W D,11109,Enes Ünal - 12,David Soria
72,Crystal Palace,eng ENG,12,26,6,9,11,21,33,-12,27,1.04,22.6,34.9,-12.3,-0.49,D D D L L,23036,Wilfried Zaha - 6,Vicente Guaita
73,Almería,es ESP,19,25,7,4,14,29,44,-15,25,1.00,28.2,39.6,-11.4,-0.47,L L W L L,12749,El Bilal Touré - 6,Fernando
74,Salernitana,it ITA,16,25,6,7,12,28,44,-16,25,1.00,24.9,45.8,-20.9,-0.84,L L L W D,13737,Boulaye Dia - 8,Luigi Sepe
75,Wolves,eng ENG,13,27,7,6,14,20,37,-17,27,1.00,24.9,37.1,-12.2,-0.47,L D L W L,31584,Rúben Neves Daniel Podence - 5,José Sá
76,Nott'ham Forest,eng ENG,14,26,6,8,12,21,47,-26,26,1.00,26.4,39.8,-13.4,-0.54,L D L D L,29148,Brennan Johnson - 7,Dean Henderson
77,Everton,eng ENG,15,27,6,7,14,20,38,-18,25,0.93,28.4,42.6,-14.2,-0.54,W L L D W,36427,Demarai Gray - 4,Jordan Pickford
78,Leicester City,eng ENG,16,26,7,3,16,37,46,-9,24,0.92,30.2,41.1,-11.0,-0.44,W L L L L,31772,James Maddison - 9,Danny Ward
79,West Ham,eng ENG,17,26,6,6,14,24,34,-10,24,0.92,31.3,30.0,+1.4,+0.06,D L W L D,57648,Jarrod Bowen Saïd Benrahma - 4,Łukasz Fabiański
80,Spezia,it ITA,17,26,5,9,12,23,42,-19,24,0.92,25.5,40.3,-14.8,-0.59,D L D D W,5209,M'Bala Nzola - 12,Bartłomiej Drągowski
81,Bournemouth,eng ENG,18,26,6,6,14,25,51,-26,24,0.92,21.2,42.6,-21.5,-0.86,D W L L W,10371,Philip Billing - 6,Neto
82,Bochum,de GER,14,24,7,1,16,26,56,-30,22,0.92,23.8,44.8,-21.0,-0.91,L L L L W,25338,Philipp Hofmann - 7,Manuel Riemann
83,Leeds United,eng ENG,19,26,5,8,13,31,42,-11,23,0.88,31.4,36.6,-5.2,-0.21,L L W L D,36496,Rodrigo - 10,Illan Meslier
84,Hertha BSC,de GER,15,24,5,6,13,29,45,-16,21,0.88,25.8,36.8,-11.0,-0.48,W L W L D,50224,Dodi Lukebakio - 10,Oliver Christensen
85,Strasbourg,fr FRA,15,27,4,11,12,32,46,-14,23,0.85,29.0,44.7,-15.7,-0.60,L W D L D,23441,Habib Diallo - 13,Matz Sels
86,Brest,fr FRA,16,27,5,8,14,28,44,-16,23,0.85,28.7,40.5,-11.8,-0.45,L L L W L,10954,Jérémy Le Douaron - 6,Marco Bizot
87,Southampton,eng ENG,20,26,6,4,16,20,41,-21,22,0.85,24.0,33.4,-9.3,-0.37,L W L W D,30498,James Ward-Prowse - 6,Gavin Bazunu
